Date,Close/Last,Volume,Open,High,Low
10/19/2021,$53.25,211,$53.25,$53.25,$53.25
10/18/2021,$52,206,$52,$52,$52
10/15/2021,$53.82,N/A,$53.82,$53.82,$53.82
10/14/2021,$53.82,174,$53.82,$53.82,$53.82
10/13/2021,$55.185,507,$55.185,$55.185,$55.185
10/12/2021,$55.77,395,$55.77,$55.77,$55.77
10/11/2021,$56,N/A,$56,$56,$56
10/08/2021,$56,N/A,$56,$56,$56
10/07/2021,$56,449,$56,$56,$56
10/06/2021,$60,625,$60,$60,$60
10/05/2021,$63.42,2098,$61.42,$63.6199,$61.42
10/04/2021,$60.9874,432,$60.75,$60.9874,$60.75
10/01/2021,$60.6763,9309,$60.6763,$60.6763,$60.6763
09/30/2021,$62.04,N/A,$62.04,$62.04,$62.04
09/29/2021,$62.04,1106,$59.8138,$62.04,$59.8138
09/28/2021,$60.39,146,$60.39,$60.39,$60.39
09/27/2021,$63.51,314,$63.51,$63.51,$63.51
09/24/2021,$63.5,N/A,$63.5,$63.5,$63.5
09/23/2021,$63.5,653,$64.2146,$64.2146,$63.5
09/22/2021,$62.15,N/A,$62.15,$62.15,$62.15
09/21/2021,$62.15,197,$62.15,$62.15,$62.15
09/20/2021,$65.5,N/A,$65.5,$65.5,$65.5
09/17/2021,$65.5,N/A,$65.5,$65.5,$65.5
09/16/2021,$65.5,295,$65.5,$65.5,$65.5
09/15/2021,$65.4645,N/A,$65.4645,$65.4645,$65.4645
09/14/2021,$65.4645,N/A,$65.4645,$65.4645,$65.4645
09/13/2021,$65.4645,N/A,$65.4645,$65.4645,$65.4645
09/10/2021,$65.4645,N/A,$65.4645,$65.4645,$65.4645
09/09/2021,$65.4645,604,$65.4645,$65.4645,$65.4645
09/08/2021,$70,N/A,$70,$70,$70
09/07/2021,$70,N/A,$70,$70,$70
09/03/2021,$70,2787,$70,$70,$70
09/02/2021,$66.0949,N/A,$66.0949,$66.0949,$66.0949
09/01/2021,$66.0949,9363,$66.0949,$66.0949,$66.0949
08/31/2021,$63.25,N/A,$63.25,$63.25,$63.25
08/30/2021,$63.25,N/A,$63.25,$63.25,$63.25
08/27/2021,$63.25,390,$63.25,$63.25,$63.25
08/26/2021,$60.69,N/A,$60.69,$60.69,$60.69
08/25/2021,$60.69,N/A,$60.69,$60.69,$60.69
08/24/2021,$60.69,N/A,$60.69,$60.69,$60.69
08/23/2021,$60.69,216,$60.69,$60.69,$60.69
08/20/2021,$72.5,265,$72.5,$72.5,$59
08/19/2021,$60.61,N/A,$60.61,$60.61,$60.61
08/18/2021,$60.61,N/A,$60.61,$60.61,$60.61
08/17/2021,$60.61,N/A,$60.61,$60.61,$60.61
08/16/2021,$60.61,N/A,$60.61,$60.61,$60.61
08/13/2021,$60.61,N/A,$60.61,$60.61,$60.61
08/12/2021,$60.61,479,$60.61,$60.61,$60.61
08/11/2021,$59.6816,948,$59.6816,$59.6816,$59.6816
08/10/2021,$60,N/A,$60,$60,$60
08/09/2021,$60,264,$60,$60,$60
08/06/2021,$65.3,N/A,$65.3,$65.3,$65.3
08/05/2021,$65.3,N/A,$65.3,$65.3,$65.3
08/04/2021,$65.3,N/A,$65.3,$65.3,$65.3
