Period,PE Ratio
2019-03-08,20.8314
2019-03-07,21.0352
2019-03-06,21.3838
2019-03-05,20.9965
2019-03-04,21.0770
2019-03-01,21.5915
2019-02-28,21.1933
2019-02-27,22.1586
2019-02-26,21.6248
2019-02-25,21.5001
2019-02-22,22.2361
2019-02-21,21.7325
2019-02-20,20.9190
2019-02-19,20.3379
2019-02-15,20.9639
2019-02-14,20.7013
2019-02-13,21.0871
2019-02-12,20.4851
2019-02-11,20.4859
2019-02-08,20.6478
2019-02-07,20.4541
2019-02-06,20.8415
2019-02-05,22.2485
2019-02-04,22.5538
2019-02-01,22.1974
2019-01-31,23.4370
2019-01-30,23.9019
2019-01-29,23.5648
2019-01-28,22.9636
2019-01-25,23.6694
2019-01-24,24.0956
2019-01-23,23.8321
2019-01-22,23.5765
2019-01-18,24.4644
2019-01-17,23.9003
2019-01-16,22.8559
2019-01-15,22.4685
2019-01-14,22.2090
2019-01-11,21.1902
2019-01-10,21.5775
2019-01-09,21.7325
2019-01-08,21.9649
2019-01-07,21.2816
2019-01-04,20.6718
2019-01-03,20.4541
2019-01-02,20.3766
2018-12-31,20.5161
2018-12-28,22.9920
2018-12-27,22.4102
2018-12-26,22.4102
2018-12-24,22.1949
2018-12-21,22.4102
2018-12-20,24.1240
2018-12-19,23.3849
2018-12-18,23.9042
2018-12-17,24.3753
2018-12-14,24.9984
2018-12-13,25.2269
2018-12-12,25.2374
2018-12-11,25.2374
2018-12-10,25.1865
2018-12-07,24.8710
2018-12-06,25.0459
2018-12-04,25.5868
2018-12-03,27.0531
2018-11-30,26.8606
2018-11-29,27.2377
2018-11-28,26.4858
2018-11-27,25.9537
2018-11-26,25.5046
2018-11-23,24.3876
2018-11-21,24.3876
2018-11-20,23.9921
2018-11-19,25.3121
2018-11-16,25.5740
2018-11-15,26.8167
2018-11-14,27.3212
2018-11-13,27.6964
2018-11-12,27.7272
2018-11-09,27.6832
2018-11-08,29.1772
2018-11-07,28.2105
2018-11-06,27.4196
2018-11-05,27.4196
2018-11-02,28.2940
2018-11-01,27.7272
2018-10-31,27.9425
2018-10-30,26.0750
2018-10-29,26.7376
2018-10-26,27.2438
2018-10-25,27.7087
2018-10-24,28.5621
2018-10-23,29.2651
2018-10-22,29.8803
2018-10-19,30.1879
2018-10-18,30.6713
2018-10-17,31.3743
2018-10-16,31.2425
2018-10-15,30.7372
2018-10-12,30.6642
2018-10-11,29.8372
2018-10-10,30.5561
2018-10-09,31.3304
2018-10-08,32.0774
2018-10-05,31.4622
2018-10-04,31.0667
2018-10-03,32.0774
2018-10-02,32.3850
2018-10-01,31.8137
2018-09-30,31.8709
2018-09-28,32.6389
2018-09-27,33.0655
2018-09-26,32.8054
2018-09-25,33.5254
2018-09-24,32.7604
2018-09-21,33.2554
2018-09-20,33.4804
2018-09-19,31.8604
2018-09-18,31.9918
2018-09-17,30.9604
2018-09-14,30.4933
2018-09-13,31.8154
2018-09-12,32.0089
2018-09-11,31.4554
2018-09-10,31.2574
2018-09-07,31.1647
2018-09-06,30.8074
2018-09-05,31.1467
2018-09-04,31.7263
2018-08-31,32.2384
2018-08-30,32.2474
2018-08-29,31.8748
2018-08-28,31.4104
2018-08-27,31.5913
2018-08-24,30.8488
2018-08-23,30.4951
2018-08-22,30.6004
2018-08-21,30.5554
